Player,Opponent,Player_Score,Opponent_Score,Result,Table Points,Gameweek,GW Rank,Luck Points,Player_Rank,Opponent_Rank,Luck_Factor,Score_Difference
Shaw's Wank Redemption ⭐️,Toney Rocky HorrorMikey Wade,65,31,Win,3,12,1.0,3,1.0,9.0,8.0,34
Team Marsh,Leif it out,39,39,Draw,1,12,5.0,1,5.5,5.5,0.0,0
Leif it out,Team Marsh,39,39,Draw,1,12,5.0,1,5.5,5.5,0.0,0
Fish⭐⭐⭐⭐,Warren Barton's Bowl Cut,46,33,Win,3,13,2.0,3,2.0,8.0,6.0,13
Warren Barton's Bowl Cut,Fish⭐⭐⭐⭐,33,46,Lose,0,13,8.0,0,8.0,2.0,-6.0,13
In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,Stephen Hawking’s football boots ⭐️,37,41,Lose,0,13,6.0,1,6.0,5.0,-1.0,4
Stephen Hawking’s football boots ⭐️,In Dulcis Dovus (Gloria ad Larkum) SCEd Dove,41,37,Win,3,13,5.0,1,5.0,6.0,1.0,4
Balls ,Shaw's Wank Redemption ⭐️,28,45,Lose,0,13,10.0,0,10.0,3.0,-7.0,17
Shaw's Wank Redemption ⭐️,Balls ,45,28,Win,3,13,3.0,3,3.0,10.0,7.0,17
ManéBall ⭐️⭐️⭐️Andy Uttley,Leif it out,83,32,Win,3,13,1.0,3,1.0,9.0,8.0,51
Leif it out,ManéBall ⭐️⭐️⭐️Andy Uttley,32,83,Lose,0,13,9.0,0,9.0,1.0,-8.0,51
Toney Rocky HorrorMikey Wade,Team Marsh,34,43,Lose,0,13,7.0,0,7.0,4.0,-3.0,9
Team Marsh,Toney Rocky HorrorMikey Wade,43,34,Win,3,13,4.0,3,4.0,7.0,3.0,9
